"scrape_datetime","trade_type","trader","trading_partner","time_period","value_type","product_option","month","value"
"2022-11-30","Total imports","Canada","All countries (total)","Latest 24 months","$ Canadian (current dollars)","Total - all products","2022 Sep","64,465"
"2022-11-30","Total imports","Canada","All countries (total)","Latest 24 months","$ U.S. (current dollars)","Total - all products","2022 Sep","48,400"
